Region-String,Group-String,RestaurantID-Integer,RestaurantName-String,City-String,Zip-Integer,State-String,Latitude-Double,Longitude-Double,Timezone-Integer,DaylightSavings-Integer,GeoPoint-String,UseRow-String,Owner-String,Capacity-Integer,Type-String,PicturePath-String,Createdate-String,IsActive-String,IsUpdated-String
Region-0,Group-2,1,WENDY'S,Worthington,1098,MA,42.399054,-72.93871,100,1,"42.399054,-72.93871",Yes,Bruno Booth,19,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,2,DJ REYNOLDS PUB AND RESTAURANT,Ipswich,1938,MA,42.682965,-70.84007,-5,1,"42.682965,-70.84007",Yes,Armand Stuart,46,Indian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,3,RIVIERA CATERERS,Wareham,2571,MA,41.751554,-70.71059,-5,1,"41.751554,-70.71059",Yes,Kuame Yang,77,Italian,c:\owner\,3/31/2020,FALSE,
Region-0,Group-1,4,BRUNOS ON THE BOULEVARD,Wentworth,3282,NH,43.874357,-71.91765,-5,1,"43.874357,-71.91765",Yes,Barrett Edwards,65,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,5,WILKEN'S FINE FOOD,Auburn,4211,ME,44.197009,-70.239485,-5,1,"44.197009,-70.239485",Yes,Declan Haley,36,American,c:\owner\,4/31/2021,TRUE,
Region-0,Group-3,6,TASTE THE TROPICS ICE CREAM,Presque Isle,4769,ME,46.679321,-68.00216,-5,1,"46.679321,-68.00216",Yes,Carter Manning,65,Italian,c:\owner\,3/31/2020,FALSE,
Region-0,Group-4,7,WILD ASIA,Cabot,5647,VT,44.414576,-72.28652,-5,1,"44.414576,-72.28652",Yes,Cameron Rivers,32,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,8,1 EAST 66TH STREET KITCHEN,Storrs Mansfield,6269,CT,41.80743,-72.25025,-5,1,"41.80743,-72.25025",Yes,Brady Cooke,41,Mexican,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,9,NATHAN'S FAMOUS,East Orange,7018,NJ,40.75555,-74.21897,-5,1,"40.75555,-74.21897",No,Oliver Miles,77,African,c:\owner\,5/31/2021,TRUE,
Region-0,Group-3,10,SEUDA FOODS,Greendell,7839,NJ,41.12831,-74.678956,-5,1,"41.12831,-74.678956",Yes,Hamilton Montgomery,21,Parsian,c:\owner\,3/31/2020,FALSE,
Region-0,Group-4,11,CARVEL ICE CREAM,Windsor,8561,NJ,40.242009,-74.58006,-7,1,"40.242009,-74.58006",Yes,Wade King,75,Asian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,12,SAL'S DELI,New York,10279,NY,40.713062,-74.00857,-7,1,"40.713062,-74.00857",Yes,Kenneth Schneider,26,Parsian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,13,STEVE CHU'S DELI & GROCERY,Brooklyn,11249,NY,40.645099,-73.945032,-7,1,"40.645099,-73.945032",Yes,Kevin Oliver,30,Chinies,c:\owner\,3/31/2020,FALSE,
Region-0,Group-3,14,P & S DELI GROCERY,Castleton On Hudson,12033,NY,42.534631,-73.71327,-7,1,"42.534631,-73.71327",Yes,Kato Ingram,82,Indian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,15,ANGELIKA FILM CENTER,Glenham,12527,NY,41.520249,-73.933259,-7,1,"41.520249,-73.933259",Yes,Gil Robinson,47,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,16,HO MEI RESTAURANT,Elbridge,13060,NY,43.025843,-76.42589,-7,1,"43.025843,-76.42589",Yes,Denton Ramirez,56,Indian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,17,THE COUNTRY CAFE,Lisbon,13658,NY,44.744462,-75.28123,-7,1,"44.744462,-75.28123",Yes,Quentin Parsons,48,Italian,c:\owner\,3/31/2020,FALSE,
Region-0,Group-3,18,SHASHEMENE INT'L RESTAURANT,Avon,14414,NY,42.899233,-77.73372,-7,1,"42.899233,-77.73372",Yes,Tucker Quinn,19,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,19,DUNKIN',Savona,14879,NY,42.330602,-77.19305,-7,1,"42.330602,-77.19305",No,Travis Rowe,52,American,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,20,CAFE METRO,Hibbs,15443,PA,39.927312,-79.88768,-7,1,"39.927312,-79.88768",Yes,Ryan Shaffer,74,Italian,c:\owner\,3/31/2020,FALSE,
Region-0,Group-2,21,LEXLER DELI,Sidman,15955,PA,40.324295,-78.7063,-7,1,"40.324295,-78.7063",Yes,Allen Bond,89,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,22,BAGELS N BUNS,Imler,16655,PA,40.235,-78.53545,-7,1,"40.235,-78.53545",Yes,Chandler Harmon,50,Mexican,c:\owner\,3/31/2020,TRUE,
